X,CH1,CH2,
Second,Volt,Volt,
4.9599994e-02,-3.60000e-02,1.40000e-02,
4.9999993e-02,-3.60000e-02,1.20000e-02,
5.0399996e-02,-4.40000e-02,1.40000e-02,
5.0799996e-02,-3.60000e-02,-2.00000e-03,
5.1199995e-02,-4.00000e-02,-8.00000e-03,
5.1599994e-02,-2.80000e-02,-1.60000e-02,
5.1999994e-02,-4.40000e-02,0.00000e+00,
5.2399997e-02,-3.20000e-02,-2.20000e-02,
5.2799996e-02,-4.00000e-02,-8.00000e-03,
5.3199995e-02,-3.60000e-02,-1.60000e-02,
5.3599995e-02,-5.20000e-02,-1.00000e-02,
5.3999994e-02,-4.80000e-02,-2.00000e-02,
5.4399993e-02,-3.20000e-02,-3.00000e-02,
5.4799996e-02,-6.40000e-02,-2.20000e-02,
5.5199996e-02,-5.60000e-02,-3.20000e-02,
5.5599995e-02,-3.60000e-02,-4.40000e-02,
5.5999994e-02,-6.00000e-02,-3.20000e-02,
5.6399994e-02,-4.80000e-02,-4.80000e-02,
5.6799993e-02,-5.60000e-02,-4.60000e-02,
5.7199996e-02,-6.40000e-02,-4.20000e-02,
5.7599995e-02,-6.00000e-02,-5.00000e-02,
5.7999995e-02,-6.00000e-02,-5.20000e-02,
5.8399994e-02,-6.80000e-02,-5.80000e-02,
5.8799993e-02,-6.80000e-02,-6.60000e-02,
5.9199993e-02,-8.80000e-02,-4.80000e-02,
5.9599996e-02,-8.40000e-02,-6.40000e-02,
5.9999995e-02,-1.04000e-01,-5.40000e-02,
6.0399994e-02,-9.20000e-02,-6.20000e-02,
6.0799994e-02,-1.20000e-01,-5.80000e-02,
6.1199993e-02,-1.04000e-01,-7.60000e-02,
6.1599992e-02,-1.24000e-01,-7.20000e-02,
6.1999995e-02,-1.32000e-01,-7.80000e-02,
6.2399995e-02,-1.24000e-01,-9.20000e-02,
6.2799990e-02,-1.72000e-01,-6.60000e-02,
6.3199997e-02,-1.72000e-01,-7.80000e-02,
6.3599996e-02,-1.68000e-01,-8.40000e-02,
6.3999996e-02,-1.92000e-01,-8.60000e-02,
6.4399995e-02,-2.24000e-01,-6.80000e-02,
6.4799994e-02,-2.16000e-01,-8.60000e-02,
6.5199994e-02,-2.24000e-01,-8.80000e-02,
6.5599993e-02,-2.52000e-01,-7.60000e-02,
6.5999992e-02,-2.52000e-01,-8.80000e-02,
6.6399992e-02,-2.72000e-01,-9.00000e-02,
6.6799991e-02,-2.76000e-01,-9.20000e-02,
6.7199990e-02,-2.96000e-01,-9.00000e-02,
6.7599997e-02,-2.92000e-01,-1.04000e-01,
6.7999996e-02,-3.04000e-01,-1.00000e-01,
6.8399996e-02,-3.20000e-01,-1.00000e-01,
6.8799995e-02,-3.36000e-01,-9.20000e-02,
6.9199994e-02,-3.36000e-01,-9.80000e-02,
6.9599994e-02,-3.56000e-01,-8.80000e-02,
6.9999993e-02,-3.68000e-01,-9.00000e-02,
7.0399992e-02,-3.56000e-01,-9.80000e-02,
7.0799991e-02,-3.52000e-01,-9.40000e-02,
7.1199991e-02,-3.40000e-01,-1.02000e-01,
7.1599990e-02,-3.48000e-01,-9.60000e-02,
7.1999989e-02,-3.52000e-01,-8.60000e-02,
7.2399996e-02,-3.32000e-01,-8.60000e-02,
7.2799996e-02,-3.00000e-01,-1.04000e-01,
7.3199995e-02,-2.96000e-01,-9.80000e-02,
7.3599994e-02,-2.68000e-01,-9.80000e-02,
7.3999994e-02,-2.68000e-01,-9.60000e-02,
7.4399993e-02,-2.52000e-01,-9.00000e-02,
7.4799992e-02,-2.20000e-01,-1.02000e-01,
7.5199991e-02,-2.12000e-01,-8.80000e-02,
7.5599991e-02,-2.12000e-01,-7.40000e-02,
7.5999990e-02,-1.88000e-01,-8.20000e-02,
7.6399989e-02,-1.64000e-01,-8.20000e-02,
7.6799996e-02,-1.60000e-01,-8.20000e-02,
7.7199996e-02,-1.32000e-01,-8.60000e-02,
7.7599995e-02,-1.12000e-01,-8.60000e-02,
7.7999994e-02,-1.28000e-01,-7.40000e-02,
7.8399993e-02,-1.04000e-01,-7.80000e-02,
7.8799993e-02,-8.00000e-02,-8.40000e-02,
7.9199992e-02,-8.40000e-02,-7.00000e-02,
